date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:47:12	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Aug%202023%2021:45:02%20GMT	https://wrenoptionstrade.com/robots.txt		(from )
22:47:14	60409/60409	---MC-	200	added ('OK')	text/html	date:Tue,%2029%20Aug%202023%2021:45:02%20GMT	https://wrenoptionstrade.com/	C:/My%20Web%20Sites/michael/wrenoptionstrade.com/index.html	(from )
22:47:15	318/318	---M--	403	error ('Forbidden')	text/html	date:Tue,%2029%20Aug%202023%2021:45:05%20GMT	https://wrenoptionstrade.com/wrenoptionstrade.com	C:/My%20Web%20Sites/michael/wrenoptionstrade.com/wrenoptionstrade.com	(from https://wrenoptionstrade.com/)
22:47:15	65843/65843	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Jun%202023%2007:33:01%20GMT	https://wrenoptionstrade.com/images/features/feature1.jpg	C:/My%20Web%20Sites/michael/wrenoptionstrade.com/images/features/feature1.jpg	(from https://wrenoptionstrade.com/)
22:47:16	53050/53050	---M--	200	added ('OK')	image/png	date:Mon,%2012%20Jun%202023%2007:33:01%20GMT	https://wrenoptionstrade.com/images/favicon.png	C:/My%20Web%20Sites/michael/wrenoptionstrade.com/images/favicon.png	(from https://wrenoptionstrade.com/)
22:47:16	144877/144877	---M--	200	added ('OK')	text/css	date:Wed,%2002%20Nov%202022%2009:44:24%20GMT	https://wrenoptionstrade.com/css/bootstrap.min.css	C:/My%20Web%20Sites/michael/wrenoptionstrade.com/css/bootstrap.min.css	(from https://wrenoptionstrade.com/)
22:47:17	433/433	---M--	200	added ('OK')	text/css	date:Wed,%2002%20Nov%202022%2009:44:24%20GMT	https://wrenoptionstrade.com/css/morris.css	C:/My%20Web%20Sites/michael/wrenoptionstrade.com/css/morris.css	(from https://wrenoptionstrade.com/)
22:47:17	57086/57086	---M--	200	added ('OK')	text/css	date:Wed,%2002%20Nov%202022%2009:44:24%20GMT	https://wrenoptionstrade.com/css/animate.css	C:/My%20Web%20Sites/michael/wrenoptionstrade.com/css/animate.css	(from https://wrenoptionstrade.com/)
22:47:17	35639/35639	---M--	200	added ('OK')	text/css	date:Wed,%2002%20Nov%202022%2009:44:24%20GMT	https://wrenoptionstrade.com/css/font-awesome.min.css	C:/My%20Web%20Sites/michael/wrenoptionstrade.com/css/font-awesome.min.css	(from https://wrenoptionstrade.com/)
22:47:18	15421/15421	---M--	200	added ('OK')	text/css	date:Wed,%2002%20Nov%202022%2009:44:24%20GMT	https://wrenoptionstrade.com/css/icon-font.css	C:/My%20Web%20Sites/michael/wrenoptionstrade.com/css/icon-font.css	(from https://wrenoptionstrade.com/)
22:47:18	2937/2937	---M--	200	added ('OK')	text/css	date:Wed,%2002%20Nov%202022%2009:44:24%20GMT	https://wrenoptionstrade.com/css/owl.carousel.min.css	C:/My%20Web%20Sites/michael/wrenoptionstrade.com/css/owl.carousel.min.css	(from https://wrenoptionstrade.com/)
22:47:18	936/936	---M--	200	added ('OK')	text/css	date:Wed,%2002%20Nov%202022%2009:44:24%20GMT	https://wrenoptionstrade.com/css/owl.theme.default.min.css	C:/My%20Web%20Sites/michael/wrenoptionstrade.com/css/owl.theme.default.min.css	(from https://wrenoptionstrade.com/)
22:47:19	3069/3069	---M--	200	added ('OK')	text/css	date:Wed,%2002%20Nov%202022%2009:44:24%20GMT	https://wrenoptionstrade.com/css/colorbox.css	C:/My%20Web%20Sites/michael/wrenoptionstrade.com/css/colorbox.css	(from https://wrenoptionstrade.com/)
